distance_km,time_of_day,day_of_week,is_peak_hour,is_cologne_bottleneck,delay_minutes,source
15.531657783525162,19,5,0,0,0.6,synthetic
54.60402316062453,5,1,1,1,5.7,synthetic
15.469383356816488,17,4,0,0,0.2,synthetic
62.78198583704027,5,3,0,0,0.3,synthetic
46.29027605079762,1,5,0,0,5.8,synthetic
90.58268802543907,13,3,1,0,3.7,synthetic
57.801904880074474,18,4,1,0,27.6,synthetic
67.51738496281658,0,0,1,0,2.9,synthetic
14.279661150772544,19,3,1,0,4.5,synthetic
60.43517145839203,0,5,1,0,4.0,synthetic
44.9657748132025,22,1,1,0,2.8,synthetic
80.00759215909497,1,2,0,0,2.7,synthetic
88.04418501369932,22,4,0,0,2.4,synthetic
47.45769652390171,19,2,0,0,1.4,synthetic
98.26793309940724,21,4,0,0,0.2,synthetic
35.47104853743456,2,5,0,0,0.8,synthetic
87.32404246883249,18,2,1,0,1.9,synthetic
83.06496535090967,16,6,0,0,4.8,synthetic
89.34029975857865,23,1,0,0,6.6,synthetic
99.01714424365144,18,6,0,0,4.1,synthetic
87.45558280232414,18,6,0,0,6.3,synthetic
50.29480760634749,6,1,1,0,0.1,synthetic
49.84693557677056,15,6,0,0,1.1,synthetic
24.848686247167244,12,6,1,0,1.9,synthetic
15.49605479462725,11,5,0,0,2.0,synthetic
26.071750610747195,19,1,0,0,3.5,synthetic
62.11790239076291,22,4,1,0,3.3,synthetic
17.111003740082687,10,6,0,1,1.6,synthetic
39.989331485401365,0,2,0,0,2.0,synthetic
28.626160336540604,2,1,0,0,5.3,synthetic
22.215067119059405,19,5,0,0,0.8,synthetic
15.30394467286708,12,5,0,0,0.7,synthetic
74.79680102508715,19,4,0,0,4.4,synthetic
83.00819875144222,9,2,1,0,3.0,synthetic
94.01091454936079,8,4,0,0,9.1,synthetic
24.34550341189508,22,5,0,1,13.5,synthetic
58.953051763236594,6,4,0,0,0.1,synthetic
96.28106414678078,17,4,1,0,1.6,synthetic
82.593675049814,10,5,0,0,0.7,synthetic
30.13198611025592,3,0,0,0,0.2,synthetic
22.533062835158738,18,1,1,0,7.9,synthetic
74.63495362674927,2,2,0,1,4.9,synthetic
48.75775055019305,6,1,0,0,9.1,synthetic
85.84401361647409,20,3,0,0,0.8,synthetic
15.122583601645491,1,4,0,1,24.3,synthetic
38.55942292636017,7,3,0,0,0.5,synthetic
85.718940634379,19,4,1,0,0.1,synthetic
88.15189694989543,18,2,0,0,0.4,synthetic
32.30511691770439,8,2,1,0,1.0,synthetic
78.57236336909696,4,1,0,0,2.6,synthetic
89.58566837250292,7,1,1,1,7.6,synthetic
95.80614588869413,21,6,0,1,4.8,synthetic
58.87180611230902,20,0,0,1,6.3,synthetic
83.93590193369342,18,3,1,0,5.5,synthetic
96.32744830048357,11,6,0,0,3.2,synthetic
99.89097587642053,10,1,0,0,0.9,synthetic
86.49512823925342,18,0,0,0,7.2,synthetic
26.93438040209793,11,2,0,0,3.2,synthetic
22.371053718854903,14,3,0,0,6.7,synthetic
90.4639849899894,18,5,0,0,4.5,synthetic
69.63698766369438,2,2,0,0,6.5,synthetic
37.790774237064824,23,6,0,0,1.7,synthetic
47.51370804701052,0,5,1,0,1.3,synthetic
31.322317170244766,20,2,1,0,0.0,synthetic
43.9781631348419,11,3,0,0,0.2,synthetic
37.53875428122776,0,4,1,0,4.7,synthetic
22.519767053673778,23,6,0,1,0.9,synthetic
95.63053783208187,0,1,0,0,9.2,synthetic
56.52988377068871,14,3,0,0,0.3,synthetic
61.41682950372908,12,6,0,0,0.4,synthetic
45.82207628164648,6,2,1,0,0.3,synthetic
48.284119776348696,7,5,0,0,2.7,synthetic
89.16155968400675,5,6,0,0,2.5,synthetic
37.983110469846764,10,5,1,0,1.6,synthetic
41.552123530255514,10,6,0,0,1.0,synthetic
87.05113238010622,9,1,0,0,4.2,synthetic
80.52964655509676,14,2,1,0,6.5,synthetic
85.12273360450497,21,1,0,0,1.4,synthetic
