distance_km,time_of_day,day_of_week,is_peak_hour,is_cologne_bottleneck,delay_minutes,source,timestamp
50.0,15,1,0,0,55.0,real,2026-03-10T16:08:10.087272
50.0,15,1,0,0,28.0,real,2026-03-10T16:08:10.121207
50.0,15,1,0,0,19.0,real,2026-03-10T16:08:10.129529
50.0,15,1,0,0,30.0,real,2026-03-10T16:08:40.487237
50.0,15,1,0,0,11.0,real,2026-03-10T16:08:40.497528
50.0,15,1,0,0,5.0,real,2026-03-10T16:08:40.506675
50.0,15,1,0,0,35.0,real,2026-03-10T16:08:50.103487
50.0,15,1,0,0,13.0,real,2026-03-10T16:08:50.131144
50.0,15,1,0,0,13.0,real,2026-03-10T16:08:50.137757
50.0,15,1,0,0,0.0,real,2026-03-10T16:08:59.505994
50.0,15,1,0,0,0.0,real,2026-03-10T16:08:59.534884
50.0,0,1,0,0,0.0,real,2026-03-10T16:08:59.544111
50.0,15,1,0,0,0.0,real,2026-03-10T16:09:10.232181
50.0,15,1,0,0,0.0,real,2026-03-10T16:09:10.262296
50.0,15,1,0,0,0.0,real,2026-03-10T16:09:10.271931
50.0,15,1,0,0,6.0,real,2026-03-10T16:09:20.155993
50.0,15,1,0,0,4.0,real,2026-03-10T16:09:20.187150
50.0,15,1,0,0,3.0,real,2026-03-10T16:09:20.197100
13.556821280307815,11,5,0,1,22.8,synthetic,
55.67868538359704,14,2,0,0,2.8,synthetic,
54.430560010461434,4,2,0,0,7.2,synthetic,
89.93719407846916,20,3,0,0,3.7,synthetic,
60.738607535428855,18,4,0,0,4.0,synthetic,
87.71549076884332,20,6,1,0,9.8,synthetic,
13.222312416234956,20,5,0,0,1.3,synthetic,
69.4894265400849,16,0,0,0,5.0,synthetic,
22.94610587594459,11,0,0,1,4.6,synthetic,
99.16842481453939,3,2,0,1,14.4,synthetic,
72.92305324052384,18,0,0,0,0.1,synthetic,
52.223724364573734,23,0,1,0,9.1,synthetic,
20.310371141504366,0,3,1,1,7.5,synthetic,
94.45249431607843,4,1,0,0,1.1,synthetic,
64.03078379394695,11,1,1,0,2.0,synthetic,
23.283616794933785,19,5,1,0,6.1,synthetic,
22.783877048029453,14,3,0,0,0.1,synthetic,
92.35235248245498,14,2,1,0,4.6,synthetic,
43.613350721637794,8,5,0,1,0.9,synthetic,
43.86182598226862,20,6,1,0,2.3,synthetic,
21.49549791747276,13,5,1,0,0.8,synthetic,
98.54549203231302,19,1,0,0,2.9,synthetic,
63.493246072389546,11,6,0,0,6.3,synthetic,
82.14752190348051,6,6,1,0,11.8,synthetic,
33.02481314864873,2,6,0,0,5.2,synthetic,
38.39202931219343,16,3,0,0,5.6,synthetic,
21.812614449708818,19,0,0,0,8.6,synthetic,
