distance_km,time_of_day,day_of_week,is_peak_hour,is_cologne_bottleneck,delay_minutes,source,timestamp
50.0,11,1,0,0,43.0,real,2026-03-10T12:11:10.109614
50.0,11,1,0,0,21.0,real,2026-03-10T12:11:10.142918
50.0,11,1,0,0,27.0,real,2026-03-10T12:11:10.151300
28.1245066755443,12,5,0,0,7.1,synthetic,
23.1903321496628,17,2,0,0,1.1,synthetic,
52.08787354943242,18,0,1,1,28.8,synthetic,
71.17324482225237,2,3,0,1,16.1,synthetic,
78.57185383496035,19,4,1,0,6.2,synthetic,
96.43811403379833,5,4,0,0,3.7,synthetic,
88.39289384775884,13,6,1,0,1.3,synthetic,
88.93283926150619,0,3,0,1,1.4,synthetic,
31.754842809541916,23,1,1,0,5.0,synthetic,
70.04280771787839,4,5,0,1,1.2,synthetic,
58.78536430993934,11,4,0,0,0.8,synthetic,
31.290587584134265,11,0,0,0,0.0,synthetic,
90.08998792745399,11,0,0,0,1.1,synthetic,
46.34645812209033,10,3,0,0,0.6,synthetic,
47.13426161587061,17,3,1,0,8.1,synthetic,
38.731392394160395,20,3,1,1,13.4,synthetic,
75.71344695797794,6,4,0,0,0.6,synthetic,
97.8255224101771,7,1,0,0,8.9,synthetic,
25.230201508920956,9,5,0,0,1.6,synthetic,
58.58061361884121,2,6,1,1,30.5,synthetic,
53.973419836532166,22,1,0,0,2.2,synthetic,
50.717624029537724,23,3,0,0,0.1,synthetic,
85.30293255537917,12,2,1,0,2.1,synthetic,
21.372681882288795,15,5,1,0,0.6,synthetic,
16.130381889634496,0,6,0,1,2.1,synthetic,
99.62391022723841,7,6,0,0,0.2,synthetic,
18.118480470174653,20,4,0,0,0.0,synthetic,
18.82525704439462,21,6,1,0,3.8,synthetic,
41.11162918966465,12,4,0,1,5.0,synthetic,
35.18988990143029,12,1,0,0,5.3,synthetic,
37.04638963484523,4,0,1,0,1.7,synthetic,
37.62426386898082,12,4,0,0,1.7,synthetic,
91.62934818244243,19,5,0,1,9.0,synthetic,
58.05075902540439,4,5,1,0,3.6,synthetic,
90.43688045347072,2,4,1,1,1.6,synthetic,
46.02252457612349,7,0,1,0,5.2,synthetic,
99.26108005536146,3,5,0,1,0.9,synthetic,
93.43608542954514,18,6,0,1,1.7,synthetic,
73.18051491224193,4,2,0,0,0.8,synthetic,
45.89466695030566,22,2,0,0,1.2,synthetic,
80.81096017559148,23,5,1,1,16.9,synthetic,
42.09406538651956,4,3,0,0,1.9,synthetic,
55.08042994178909,10,3,0,0,0.5,synthetic,
89.96636060494785,18,6,0,0,0.9,synthetic,
91.27374204186098,5,1,0,0,4.8,synthetic,
25.464982526705356,2,6,0,1,5.0,synthetic,
73.67207274628912,19,3,0,1,17.6,synthetic,
