distance_km,time_of_day,day_of_week,is_peak_hour,is_cologne_bottleneck,delay_minutes,source
50.89832394757502,12,2,1,1,15.5,synthetic
25.473156797746903,6,0,1,0,9.2,synthetic
33.12122710718232,20,5,0,0,4.0,synthetic
87.28970359278082,10,3,1,0,3.4,synthetic
42.375399475082276,10,3,0,1,13.1,synthetic
38.692031980331976,15,3,1,0,10.0,synthetic
14.179449888547076,14,1,1,0,20.3,synthetic
95.20541935710952,3,6,0,1,11.3,synthetic
58.12280678664458,1,0,1,0,2.2,synthetic
29.441904480718147,11,5,1,0,1.9,synthetic
91.81740928527509,0,1,1,0,7.2,synthetic
53.53122681247597,5,6,0,0,3.4,synthetic
53.195349995437596,6,0,0,0,9.2,synthetic
19.191652624116756,5,2,0,0,1.1,synthetic
47.17917307939751,1,6,0,0,5.2,synthetic
49.3525744961201,19,4,1,0,0.7,synthetic
71.83441294277074,9,0,1,0,0.2,synthetic
85.41035833364832,14,4,0,0,0.0,synthetic
51.224946060112565,3,3,0,0,1.0,synthetic
13.901820026939719,11,1,0,0,8.9,synthetic
37.019724382961044,22,4,1,1,6.0,synthetic
24.230211191431412,5,0,1,0,2.8,synthetic
46.363508293872094,23,5,0,0,2.6,synthetic
79.82399772555327,6,3,0,0,2.1,synthetic
20.809461553713977,23,0,1,0,9.7,synthetic
95.13261497701936,19,1,0,0,1.0,synthetic
59.76346313517403,16,3,0,0,3.2,synthetic
70.83304075959468,11,2,0,0,0.3,synthetic
13.759131770401027,22,3,0,0,0.7,synthetic
22.811154648110552,21,3,0,0,0.9,synthetic
97.60116040267488,7,2,0,1,6.6,synthetic
29.612942849765115,1,2,0,0,1.1,synthetic
59.16862714467353,10,1,0,0,0.3,synthetic
86.23183480835142,14,1,1,0,0.1,synthetic
36.709051978156886,12,0,1,1,11.1,synthetic
10.365483783293698,20,1,0,1,4.7,synthetic
43.28468965956661,6,3,1,1,7.0,synthetic
15.333235499277773,1,4,0,0,2.5,synthetic
17.341074660186255,23,3,0,0,0.4,synthetic
46.25182626968722,21,6,0,0,1.5,synthetic
90.30330338683962,14,4,0,0,1.4,synthetic
96.29006601844198,10,6,1,0,11.3,synthetic
58.73183398913461,19,5,1,0,1.1,synthetic
97.94154418944919,22,5,0,0,4.2,synthetic
33.10766531261037,12,3,1,0,1.5,synthetic
41.904025305318,13,1,1,0,11.3,synthetic
47.01673123590401,9,6,0,0,1.3,synthetic
73.67659576981174,3,4,0,0,2.4,synthetic
49.41148474290035,11,0,1,0,5.4,synthetic
90.40705977127695,2,6,0,0,7.7,synthetic
