distance_km,time_of_day,day_of_week,is_peak_hour,is_cologne_bottleneck,delay_minutes,source,timestamp
50.0,11,1,0,0,42.0,real,2026-03-10T12:07:51.034782
50.0,11,1,0,0,21.0,real,2026-03-10T12:07:51.070285
50.0,11,1,0,0,27.0,real,2026-03-10T12:07:51.079530
50.0,11,1,0,0,47.0,real,2026-03-10T12:08:00.937693
50.0,11,1,0,0,28.0,real,2026-03-10T12:08:00.969140
50.0,11,1,0,0,22.0,real,2026-03-10T12:08:00.977334
50.0,11,1,0,0,41.0,real,2026-03-10T12:08:10.502100
50.0,11,1,0,1,51.0,real,2026-03-10T12:08:10.510817
50.0,11,1,0,0,26.0,real,2026-03-10T12:08:10.519110
50.0,11,1,0,1,55.0,real,2026-03-10T12:08:22.368276
50.0,11,1,0,1,56.0,real,2026-03-10T12:08:22.400864
50.0,11,1,0,0,51.0,real,2026-03-10T12:08:22.410795
50.0,11,1,0,0,0.0,real,2026-03-10T12:08:44.034642
50.0,11,1,0,0,0.0,real,2026-03-10T12:08:44.069515
50.0,0,1,0,0,0.0,real,2026-03-10T12:08:44.079068
50.0,11,1,0,0,0.0,real,2026-03-10T12:08:54.843601
50.0,11,1,0,0,0.0,real,2026-03-10T12:08:54.874421
50.0,11,1,0,0,0.0,real,2026-03-10T12:08:54.883293
50.0,11,1,0,0,10.0,real,2026-03-10T12:09:05.397356
50.0,11,1,0,0,6.0,real,2026-03-10T12:09:05.428535
50.0,11,1,0,0,6.0,real,2026-03-10T12:09:05.437053
23.54791114293303,5,2,0,0,2.6,synthetic,
36.372916402128055,4,5,0,0,2.9,synthetic,
48.449335879218246,7,5,0,0,0.1,synthetic,
13.350322389596883,22,5,1,0,2.3,synthetic,
99.64016413267207,8,4,0,0,2.5,synthetic,
36.28986763499687,17,4,0,0,6.7,synthetic,
62.644581396511505,6,4,1,0,9.4,synthetic,
71.09531776983721,9,3,0,1,2.8,synthetic,
46.18334026966236,21,6,0,0,0.6,synthetic,
61.6212509903807,2,4,0,0,2.6,synthetic,
69.4902357763943,14,6,0,0,3.6,synthetic,
10.213688033322763,9,4,0,1,18.3,synthetic,
89.10315923948703,0,3,0,0,1.5,synthetic,
97.13181607718792,15,3,0,1,4.7,synthetic,
38.67128358527752,3,1,0,0,3.4,synthetic,
99.14011129662143,16,3,1,0,1.7,synthetic,
86.02963039554685,1,4,0,0,1.2,synthetic,
65.13002425825961,15,1,1,0,1.8,synthetic,
77.80536022945313,20,2,0,0,1.2,synthetic,
74.2996048731533,16,1,1,0,4.2,synthetic,
97.10506006199238,10,1,1,0,4.8,synthetic,
66.5206134462706,21,0,0,0,1.3,synthetic,
38.324471696560984,20,1,0,1,9.1,synthetic,
92.38389449468386,19,6,0,0,0.3,synthetic,
66.25571757382549,16,2,0,0,2.1,synthetic,
99.22051617152383,1,3,0,0,3.6,synthetic,
64.59974348895187,2,6,0,0,1.3,synthetic,
97.63329035088441,1,6,0,0,0.6,synthetic,
39.08986904206238,11,1,0,0,8.2,synthetic,
