distance_km,time_of_day,day_of_week,is_peak_hour,is_cologne_bottleneck,delay_minutes,source,timestamp
50.0,15,1,0,0,31.0,real,2026-03-17T15:47:43.024635
50.0,14,1,0,0,7.0,real,2026-03-17T15:47:43.053294
50.0,14,1,0,0,7.0,real,2026-03-17T15:47:43.057586
50.0,14,1,0,1,15.0,real,2026-03-17T15:47:49.525484
50.0,14,1,0,0,21.0,real,2026-03-17T15:47:49.532788
50.0,14,1,0,0,10.0,real,2026-03-17T15:47:49.537899
50.0,14,1,0,0,13.0,real,2026-03-17T15:47:55.740596
50.0,14,1,0,0,16.0,real,2026-03-17T15:47:55.767104
50.0,15,1,0,0,19.0,real,2026-03-17T15:47:55.773071
50.0,14,1,0,0,38.0,real,2026-03-17T15:48:02.009898
50.0,14,1,0,0,11.0,real,2026-03-17T15:48:02.041403
50.0,14,1,0,0,8.0,real,2026-03-17T15:48:02.046876
50.0,15,1,0,0,39.0,real,2026-03-17T15:48:08.194857
50.0,14,1,0,0,25.0,real,2026-03-17T15:48:08.228572
50.0,14,1,0,0,25.0,real,2026-03-17T15:48:08.235127
50.0,14,1,0,0,0.0,real,2026-03-17T15:48:13.880948
50.0,14,1,0,0,0.0,real,2026-03-17T15:48:13.891710
50.0,14,1,0,0,0.0,real,2026-03-17T15:48:13.898537
50.0,14,1,0,0,14.0,real,2026-03-17T15:48:20.227610
50.0,14,1,0,0,10.0,real,2026-03-17T15:48:20.259253
50.0,14,1,0,0,5.0,real,2026-03-17T15:48:20.266074
50.0,15,1,0,1,45.0,real,2026-03-17T15:48:26.745832
50.0,15,1,0,1,30.0,real,2026-03-17T15:48:26.776458
50.0,15,1,0,0,30.0,real,2026-03-17T15:48:26.784293
25.379184645435075,11,5,0,1,24.9,synthetic,
66.44172132202252,20,1,0,1,13.2,synthetic,
40.817908197845554,14,1,0,0,3.9,synthetic,
38.560684542063555,6,1,0,0,2.9,synthetic,
49.568307218249494,2,0,0,0,11.9,synthetic,
33.70526422374516,20,1,0,0,1.3,synthetic,
28.20157057926533,12,4,0,0,5.5,synthetic,
37.105534202088975,3,4,0,0,3.1,synthetic,
44.53315870192665,11,0,0,0,1.5,synthetic,
12.000820134102414,21,1,1,0,5.8,synthetic,
62.98507132694137,14,5,1,0,5.5,synthetic,
86.444080590367,3,4,0,0,1.5,synthetic,
18.503520633230558,1,2,0,0,2.6,synthetic,
88.66515273586876,20,5,0,0,1.9,synthetic,
12.647440237178687,16,4,1,0,3.4,synthetic,
56.660275308754954,12,1,0,0,0.4,synthetic,
97.84510632361636,7,2,0,0,3.6,synthetic,
70.85638951676953,2,1,0,0,2.5,synthetic,
10.600715297403532,20,2,0,0,2.9,synthetic,
50.0733161679718,11,4,0,0,2.8,synthetic,
22.104632932877536,3,0,0,0,0.7,synthetic,
91.98742146397353,10,5,1,0,1.4,synthetic,
36.29166248997258,15,0,0,0,2.2,synthetic,
92.53154642672303,12,1,0,0,3.0,synthetic,
79.08281657514102,21,0,0,0,5.4,synthetic,
22.347768596843693,12,2,0,0,4.1,synthetic,
